check_stop,sentiment
selagi pergolakkan politik malaysia selagi pkp vs covid,negative
kes jangkitan ribu kes sembuh ribu tidak payah darurat pkp ooii pkpp,negative
meninggal 😔 icu 😔 bantuan alat pernafasan muda mungkin antibody kuat tapi ayh 😔 😔 semoga abh keluarga tidak jangkiti,negative
tidak tanda turun bawah duduk haa 😂,negative
tidak faham kes baru banyak kluster kerja tapi banyak roadblock jalan raya tidak serbu kerja letak polis ramai denda naikkan awam sampai tapi company untung sebulan beratus ribu awam gaji majoriti tidak ribu,negative
seronok pkp kali meriah jalan raya sambut merdeka,negative
doa baik negatif teruk mulut doa,positive
wow vaksin pawer,neutral
kes naik menjuarai carta sek buka minggu,negative
wow joho maju,negative
active case reaches remain time everyone vaccinated,neutral
alhamdulillah semoga balik raya kampung amin 🤲,positive
kena tunggu tiada penurunan skala memuaskan maknanya tahap parah recover frontliner kkm collapse tapi sayang ramai main tak ambil serius,negative
say confidence no fourth waves wait,negative
mco next week,neutral
alhamdulillah kes menurun banyak sabar wlaupon tidak boleh rentas negeri tapi kebaikan semoga puasa raya amin,positive
pkp longgar bagus tak payah pkp benarkan rentas daerah keluar lepak kedai mamak aktiviti pkp longgar kes naik bagus tak payah pkp keputusan,negative
nampak gayanya berpuasa beraya perantauan 🤣 igtkan masa study kesalahan kerajaan prn tidak kuatkuasakan kuarantin buka rentas negeri zon merah rakyat bukan boleh kebenaran sikit pakat melancong habis hasil drag prn rentas negeri lambat boleh turun digit,negative
kes tempatan kebanyakanya foreigner kerja kilang hostel kena pantau little nepal india,negative
pkp zero serius tidak pkp zero kedaan lambat hilang covid,negative
kes tidak naik sampai 😭 😭 😭,negative
alhamdulillah 🤲 mudah mudahan boleh rentas negeri,neutral
government private clean neat,positive
tutup sempadan negeri tidak yah rentas negeri tidak yah sekat rentas daerah 😞 😞 tengok pkp tidak pkp 😞 😞 😞 penting jaga tutup kilang kerja binaan sampai tidak kluster kerja kasi hapus kluster kerja kasihan tidak bersalah terkesan 😞 tutup sempadan negeri tidak yah rentas negeri tidak yah sekat rentas daerah 😞 😞 tengok pkp tidak pkp 😞 😞 😞 penting jaga tutup kilang kerja binaan sampai tidak kluster kerja kasi hapus kluster kerja kasihan tidak bersalah terkesan 😞,negative
tidak puas hati negeri boleh turun tidak penyakit series masuk series main tidak kkm 😒,negative
pkp tapi kedai buka perbezaan kedai makan tidak boleh duduk makan sekolah buka syarikat buka mall buka gov cakap pkpp bukan rakyat tidak patuh tapi bila keluar memo boleh buka rakyat harap kerajaan jangan salahkan,negative
kess pati depo kess tahanan tinggi pati masuk jalan,negative
pembangunan tapi tidak kawal tapak binaan jadikan kes tidak boleh kurang pekerja tanpa permit tidak terkawal,negative
menteri senyap sunyi pasal,negative
alhamdulli semoga turun rentas negeri rakyat rindu kampung halaman rindu keluarga,positive
tak naik nama pkp tapi tak pkp lansung contohnya kota kinabalu boleh piknik jogging sedekah encik polis kawasan kinarut penampang public bank api boleh berpiknik tak pakai mask mengugut kereta tak duit ugut coret kereta trafik light wawasan kali lampu merah hujung tadah tangan sedekah bukan tidak kesian tapi bila makanan buang marah duit dibagi duit tak lama kembang kempis plastik isap gam,negative
sembuh ramai alhamdulli tapi sembuh pakai ubat,positive
tidak faham terkawalnya penularan bila divaksinkan,negative
tahniah malaysia harap boleh cecah tidak sabar potong amerika,negative
baik doa baik hanya jaga sop semestinya hebat,positive
zon merah pergi zon hijau otak lutut,negative
teka tak komen,neutral
alhamdulillah syukur angka sembuh dijangkiti kesekian kalinya semoga esok lusa menyembuhkan banyak dijangkiti amin,positive
luluskan sinar pkp balik kjap turun balik kes,neutral
pkp diperketatkan tiada gunanya mangkuk ayon degil tak ikut sop menyusahkan banyak menyusahkan mencari rezeki kluster kilang pentingkan diri pekerja pergi tak bersalah bawa covid pergi kerja sebar tidak bersalah pkpd dikuatkuasa kawasan kilang mungkin boleh dikurangkan virus baik tak,negative
relex pkp tamat kes naik buka sector,negative
tak kalah cita nihh 😅,negative
tukang banyak nombor,negative
kerja kerajaan suka gaji free pkp kerja kais mkn ramai melayu susah cina pkp tidak duit bantuan bangsa melayu layu,negative
penyumbang kes tertinggi kerajaan tutup operasi tapak pembinaan kilang sampai bila tidak habis,negative
pkp tiada pkp polis lambai tangan rakyat pakai mask dagu seo dagu bernafas,negative
jadi turun sikit mengharap turun mendadak jadi angka tak gamai nau manusia degil mampus payah dengau cakap,negative
better lockdown,neutral
pkp zero tapi teruk kkm kurangkan test bergeja walaupun kerajaan rugi billion sehari tapi pkp zero berkesan terbaik,negative
alhamdulillah harap tak naik semoga covid terhapus muka bumi,positive
allahu akhbar semoga dilindungi swt amin,positive
bukan menuduh tapi alami pkd slow kerja trace contact rapat positif covid time baru kes sampai tidak dicontact goodluck trace contact rapat,negative
alhamdulillah kian menurun harap boleh rentas negeri rindu 😭,positive
teruknya geram melanggar sop lame bersabar 😡 😡 😡 😡 😡 😡 😡 😡,negative
salah champion back normal muskil,negative
alhamdulillah semoga bertambah kurang terhapus bumi malaysia covid berdoa mematuhi sop ditetapkan moga doa baik dimakbulkan swt amin,positive
alhamdulillah semoga kes sembuh ramai drpda kes baharu,positive
minggu pkp minggu masa masyarakat berseronok bercuti kenduri kawen menziarahi kematian tak tvt tak terkawal tak sop bersabar pkp nampak mungkin minggu asyik menyalahkan pentadbiran boleh bila frontliner baca komen negative moral semangat kerja berjuang frontliner keyboard warriors naikkan moral semangat bapa jaga keluarga,positive
pelik kes aktif bila ribu kes sembuh ribu salah 🤔,negative
kes baru esok penambahan kes positive harap barisanhadapan kkm sabar tabah pahala tugas mulia,positive
tahniah happy go lucky pergi kesana cuti sampai mengabaikan golongan menyusahakan ramai 👍 👍,negative
cepat turun tak sabar balik kampung cuti baki banyak,positive
goodness wrong 😳,negative
jangan lupa salahkan pncanya prn ahli polotik pnca masa boleh tarik nafas lega jadi politaik,negative
tengok anak jiran bersosial penawar ikut vaksin lambat tegur boleh,negative
alhamduli harap kes turun tamat pkp mac majlis kahwin sederhana ramadhan ☺,positive
relax belum sehari ribu kes control cmco cuti malaysia covid epidemic severe caused government,negative
kilang ramai kena tapi stay buka 🤦 ‍ ♂️ 🤦 ‍ ♂️ 🤦 ‍ ♂️ tepuk dahi kes 🤦 ‍ ♂️ 🤦 ‍ ♂️ lockdown balik merana please jangan fikir untnng kena tempias antra penyebab covid berpunya sektor perkilangan kerja kena 🤦 ‍ ♂️ 🤦 ‍ ♂️,negative
madu asli ubat manusia,neutral
kes,neutral
alhamdulillah kes turun jaga jarak boleh bersosial makan kedai jangan seo tiada berlaku beratur jarak jangan gelakkan hak berjarak bersih mungkin boleh menjangkiti moga kes turun lenyap,positive
alhamdulillah syukur kes banyak sembuh kes aktif tinggal moga boleh puasa amin,positive
tengok slepas minggu pkp baru boleh baca kes meningkat tidak kluster sblom pkp doakan baik inshaal selamat amin,positive
alhamdulillah semoga kes menurun 🥺 rindukan suami 🥺 jumpa tidak boleh 🥺,positive
alhamduli kes menurun harap cepat terhapus virus muka bumi 🤲,positive
kilang kes positif covid beroperasi gaya tindakan kkm,negative
tengok kematian ramai perlukan bantuan pernafasan ramai berisiko icu tinggi risiko kesian,negative
tiada pru prn tiada kes spike banyak mendadak,negative
alhamdulillah harap kes baru berkurangan,positive
kurang naik kurang negeri naik lead tidak naik esok kurang naik,neutral
mungkin ujian banjir malaysia covid berkurangan waalahualam 🤗 banjir jadi takramai berkumpul semoga hikmah disebalik banjir berlaku amin 🤗,positive
tidak pilihan raya,negative
kereta banyak jalan jeng jalan flat negeri banyak rentas negeri,negative
kaedah terbaik pkpd negara minggu kurangkan sweb test ramai tidak berkaitan jalankan aktiviti penting kehidupan bantuan makanan minggu tidak bangsa agama negara warga asing bantuan hidup minggu tiada sweb test tiada bergerak kurang positive,neutral
kes mencanak naik sekolah buka,negative
selagi keluar tak turun kena pkp first,negative
geram balik tenang tak cocok hidung mulut loboss,negative
bau ketupat rendang open house bau ayam percik bazaar ramadhan dengar lagu raya bazaar ramadhan 🥰 🥰,positive
harapkan tindakan tepat secepatnya ramai tak ikut sop,negative
yahoo puasa raya dinikmati,positive
turun elok negeri pkpb jadi pkpp melancong kluster balik kes naik raya tidak boleh balik kampung jumpa,negative
turun sikit kes sop tukar kes naik balik tukar sop balik mco bila habis selesai kes mac,negative
kematian tinggi bantuan penafasan tinggi icu tinggi wabak covid aktiv dimalysia,negative
kes naik teryskan patuh sop,negative
pkp kali gagal dengar suara rakyat tutup tidak boleh haa sektor risiko sebarkan penyakit keluarga mnuumbang kes tinggi cadangkan lockdown,negative
masa suntikan vaksin semoga mudahkan urusan harapan tamat jangkitan covid muka bumi amin,positive
maintain menurun rakyat malaysia,positive
pantau kedai mkn tak penjarakan bawa anak kcik bulan mkn tak fikir risiko anak 😢 😢,negative
tengok sembuh tolak kes baru total sembuh ribu minggu mac mungkin negara pulih covid amin,positive
sekolah buka kes tinggi jadi kluster sekolah persalahkan ramai pergi rumah menteri pendidikan,negative
vaksin sampai kes covid menjunam turun vaksin belum dipakai kena angin mr covid jatuh tersungkur ramli 😀 😀,negative
negeri kuarantin wajib kemasukan tapi kes mencacakk naik,negative
usaha melonggarkan pkp syabas 😐 😐,negative
harap banyak berdoa doa termakbul covid hilang cepat,positive
ramai pkp zero gagal pkp zero gagal sudut mane nampak kegagalan pkp negara kerajaan wajibkan kerja saringan pekerja jadi kes mungkin kenaikan diharapkan kes menurun semoga membaik berdoa jangan menunding jari menyalahkan diri belum clear jadi berhati ikut sop makan pantry ditempat kerja berkumpulan boleh elakkan kedai makan walaupun rakan ditempat kerja tapi jagalah jarak jangan bersentuhan pelitup muka nampak salah adakah diri ikut sop tengok ambil gambar jangan sedara mara tidak patuh sop kilang jadi punca jabatan kerajaan bank positif warga asing kerja,positive
kerajaan laksana pkp tapi ramai still tidak ikut sop tiada tidak faham bercuti jalan shoping complex tiada penjarakan sosial bila kes tinggi salahkan kerajaan haduii,negative
pkp positive darurat jogging pergi shopping tiada 😌 banyak duit tidak susah bertambah susah 😌,negative
alhamdulillah syukor semoga berganda sembuh positive berganda kurang terima kasih kkm semoga lindungi,positive
cucuk vaksin baik amalkan makanan sunnah madu habatussauda kurma,neutral
tapi mco tapi cmco logic,negative
kurang sikit alhamdulillah,positive
alhamdulillah semoga cepat sihat kes menerus turun,positive
alhamdulillah semoga pulih cemerlang,positive
merentas negeri bukan punca utama kes naik kerja sbnrnya kes naik mendadak tapi kilang banyak kes positive beroperasi 😭,negative
buln pkp sekejap maybe banyak boleh kawal maybe,neutral
alhamdulli kurang,positive
selamat bersara seri terima kasih diatas khidmat,neutral
setahun tidak jumpa suami bila harap kes turun hati sakit esok kes naik 😭,negative
pelik sikit penuh jalan keluar pkp tidak tengok jalan umah ngadap pokok jadi tidak penuh jalan tidak pelik ramai komen ramai jalan maknanya keluar,neutral
eloklah pkp balik kerajaan announce sekolah buka balik banyak bapa komen tidak setuju kerajaan tidak covid tidak terkawal alasan tapi mall elok shopping anak beranak pergi cameron highland bercuti jem jam adahal penting sekolah jangan buka,negative
pkp perintah kawalan pergerakan pkpd zero perintah kawalan pergerakan diperketatkan pkp zero perintah kawalan pelakon pkpd zero perintah kawalan pelakon diwayangkan,negative
saringan contact rapat ramai saringan kerja pekerja bawa balik rumah berjangkit berganda ganda kes komuniti,negative
baru turun sikit boleh kenduri kahwin boleh mkn kedai kang sebulan beribu kes naik sedih raya tak solat masjid,negative
ribu kematian semoga angkatlah virus dunia,negative
kes covid meningkat tidak jawatan kes meningkat tidak masuk akal,negative
tunggu minggu ag mungkin kes turun bersangka baik doa banyak baik banyak mulut caci maki kerajaan caci maki kkm pkp tak covid ag elok berzikir 😘,positive
no fourth wave third wave zero,negative
jalan jem kawasan pkp berduyun meninggalkan sarang balik kampung bawa adiah covid kampung,negative
turun anak tangga lega sikit,negative
alhamduli sykur 🤲 harap kes turun semoga hapuskan covid bila dtgnya ramadhan amin rabbal alamin 🤲 🤲,positive
data tidak,neutral
number going less testing due holiday,negative
merampas piala covid,negative
sad see figure not reducing since mco zero till demotivated,negative
ikut perangai liverpool,negative
alhamdulillah nampak sinar ramadhan seminggu 😍 berdoa semoga kes menurun banyak amin 😍,positive
mco decreasing saw increasing 🤦 🏼 ‍ ♀️ feel mco compare march please dear gov know thinking economy think us without us working economy falls kena covid die economy no money die sekian terima kasih,negative
lockdown lembat si midin,negative
kkm happening,neutral
digit become new form results,negative
rakyat manusia lembu kena tarik hidung pasang pagar baru ikut arahan duduk kandang otak tak kena ikut kerajaan kena warta kena total lockdown kena denda baru tak merayau duduk rumah diam kerja pergi kerja habis kerja balik kang tutup industri meroyan group bmf takdok pitis hidup bunuh diri susah,negative
sabar geng tak baru seminggu nampak kes berkurang result pkp kerajaan bila blaa baii pergi beli makanan kedai makan tutup awal sop tahh no komen,negative
merapati mungkin bala turun pasal kalimah diperlekehkan segelintir warga kristian alhamdulillah covid beransur meninggalkan,neutral
alhamdulillah tanda raya boleh balik kampung amin 👐 👐 👐,positive
state government not good control spreading covid 😭 😭 😭 😭 😭,negative
suruh hisyam pkp baru kes turun,neutral
alhamdulillah ramai sembuh melebihi kes baru berterusan bermakna rakyat malaysia tidak vaksin memerangi covid penting jaga sop ayuh malaysia menang tanpa perlukan vaksin,positive
kkm jangan buka rentas negeri,neutral
boleh turun naik balik 😔,negative
tidak payah takut malaysia baru kes kematian itupun belum mati positif covid tidak mengaparcaya terima kasih mentri,positive
vaksin belum capai tapi kes banyak turun boleh chance rentas negeri,positive
tidak ngundi mungkin tidak kerajaan kena kerjasama melawan bencana melanda tapi rakus,negative
duanya gagal membendung wabak covid negara tapi indonesia slightly better vaksin malaysia hujung bulan itupun cakap mungkin 😅,negative
know said no social distancing poor hygiene no mask rakyat face times wave 🌊 hope no sinar next year,negative
kes ribu sehari totap kono koja pkp natang,negative
result pkp hsil pgrakan rentas ngeri bulan tengok pkp bpa result jaga diri amalkan sop stay home tak kepentingan keluar rumah moga frontliner bertugas permudahkan sga urusan swt amin 🤲 🏽,positive
bagus tak kes 👏,positive
tiada pkp sektor dibenarkan buka pkp pkpb pkpp,negative
semoga turun balik malaysia 😭,positive
turun sblom raya cina raya cina naik balik jadi pkp sampai pose kess turun sampai raya kess naik pkp balik sampai jamil mampus boleh baca bende menteri penipu pape taniah peniaga pub disco oder bear ikat,negative
bagus harap tidak sambung pkp 😁 letih hadap pkp 😁,negative
lockdown strictly weeks harapan turun till,neutral
ahad kes kurang covid rehat,negative
minggu majlis meeting buka bazaar tidak tapi wp tak sura negara trend penurunan elok puasa raya naik sop ketat seramai saja raya jadi jaga memasing,neutral
anyone know wtf adham talking clue,negative
north borneo controlled well wild animals broke barn created chaos leading wave,negative
case covid malaysia turun sekolah buka balik bapa emak boleh risau,negative
pkp susah ekonomi negara tidak jadi banyak kelonggaran kali kena jaga tidak boleh harapkan mengubahnya tidak boleh cakap banyak bila pkp bising tidak boleh kerja bila boleh kerja jagalah diri jaga sop,negative
rakyat malaysia pkp full lockdown sampai april,neutral
tinggal tentukan pkp bersambung tidak semoga dilindungi wabak covid semoga frontliners istikamah membantu membendung wabak covid terima kasih frontliners wira negara,positive
pkp rakyat derita tapi kes meningkat tidak nyer turun buka masjid surau hambanya memunajat bertaqarub jangan lalai,negative
duduk maintain 😔,negative
tahniah penurunan moga membantu moga turun,positive
alhmdulli jm penurunn jangan seronok alpha bila boleh mendadak buln umat islam smbut buln ramadhn harap mnunaikan ibadah teraweh puasa raya bersederhana 😔 😔,positive
alhamdulillah kes sembuh melebehi kes jangkitan syukur esok kurang amin,positive
alhamdulillah ramai sembuh,positive
kes tinggi buka sekolah tidak faham keputusan diambil menteri pendidikan,negative
pkp tidak payah pkpb lockdown malaysia no rentas negeri daerah duduk umah diam 😥,negative
pkp golongan kurang pendapatan marah penting diri tidak pkp bila kes tinggi banyak sakit budak tidak boleh sekolah penting diri fokus mengurang memutuskan kes baru jadi buatlah pkp penuh ketat kaedah terbaik memutuskan kes baru puaskan hati manusia bila tidak selesai,negative
angka ribu pengkhianat tengok sebelah mata angka kematian tanpa bersalah muka tidak bertanggungjawab lenjan duit rakyat peruntukkan kisah rakyat meninggal covid penting darurat cover semoga swt membalasnya,negative
puas hati tejawab pkp jangan pkp meroyan hilang kerja kena potong gaji bosan tak boleh keluar hadap 🤣 🤣 🤣 harap bulan pkp baru hilang covid,neutral
sampai bila kerajaan sekat rakyat kes perketatkan pkp tapi teruk,negative
teruk bukan task force covid ketuai ex menteri kesihatan terbaik dunia,negative
bila kes baru sikit kes sembuh sikit tidak ribu sembuh,negative
kes menurun semoga berterusan si kawsn hijau bumi bertuah malaysian,positive
kkm tidak berbunyi,neutral
pkp kematian risau relex mungkin ekonomi berharga nyawa manusia,negative
kes aktif berkurangan alhamdulillah,positive
turun naik sampai bila,negative
angka hijau kerap tinggi angka merah 🦾,positive
semoga limpah rahmad semoga kes beransur turun amin,positive
alhamdulillah sanggup sambung pkp sampai raya boleh balik beraya yeayy,positive
alhamdulillah kes turun harap bolah rentas negeri raya 🤲,positive
pkp zero suruh pergi kerja balik kerja kota tidak yah kesana kesini keluar keperluan,neutral
semoga kes menurun moga dpr balik beraya kampung jumpa adik,positive
already high cases no take precautions think handle increase want wait want go say fourth wave coming mco rakyat banyak susah cari makan already two years cant back hometown see parents old speechless,negative
kementerian kena duduk tengok benda kes duduk naik anak belajar pdpr gajet tablet laptop beli haa,neutral
target cecah tahap sembuh seminggu amin 🤲 🏽,positive
main sorok data kes bawah kapet makan gula kapas kejap tidak,negative
harap cepat turun kesian anak sekolah,negative
folks people wear mask whenever go virus spike dear,negative
kerajaan tidak boleh pakai bagus ganti lama kes covid tinggi,negative
sampai bila kes bawah pkp minggu raya 😭 😭 😭,negative
alhamdulillah kes sembuh kes baru,positive
alhamdulillah berkurang cepat boleh rentas negeri rindu balik kampung stress 🥺 🥺,negative
kitajagakita syiok boleh kerja tapi jaga diri,neutral
take antioksida liked fruit vegetables also tissue body like red tissue red selblood,neutral
positive covid angka kematian semangkin meningkat tolonglah sesusahan semoga hapuskan covid mengancam keselamatan umat manusia semoga merahmati dijauhi mala pertaka mngacam nyawa moga dengar rintihan 🤲 🤲,negative
close schools amid high virus cases till cases reach digits especially red zones,neutral
bukan pkp area kawasan budak melepak tua melepak susah kes turun mask tak pakai sakit hati tengok,negative
rentas negeri tak dibenarkan berlaku penurunan kes banyak negeri bila kes turun rentas negeri dibenarkan kes meningkat sampai bila tak habis jangan rentas negeri cepat,negative
tidak sabar balik raya,positive
tak rentas negeri daerah kes mendadak naik daerah senang sikit jaga perketatkan sop daerah boleh sambung bom daerah kes tinggi selesai masalah,neutral
thanks god kes aktif kurang ramai pulih takziah family meninggal,positive
kes turun sektor pekerjaan banyak menyumbang kenaikan kes baru positif beroperasi terutamanya sektor pembinaan pengilangan tidak pkp projek tunggu minggu kes baru bekurang tidak kluster baru geram sbnrnya office kontak rapat sekeliling kena kerja,negative
tidak kes meningkat tutup kilang pkp berani kkm mkn menteri kerajaan,positive
alhamdulillah semoga tarik bala terima kasih,positive
tidak longgarkan sjr cari kerja sakit rasanyaa tiada income hadap pendamik,negative
alhamdulillah kes sembuh melebihi jangan putus asa bertabah amalkan sop allahul mustaan,positive
alhamdulillah moga raya border singapora malaysia dibuka setahun tidak jumpa family amin,positive
kes menurun tidak semestinya menggambarkan bertambah baik tepat kena rujuk peratus positif saringan dijalankan info peratus positif saringan dijalankan feb kes turun ketara tinggi peratus positif feb kurang kes menurun saringan kurang berbanding mudah mudahan kkm boleh profesional mengelakkan salah faham unsur manipulasi,neutral
berkesan vaksin ba baru cucuk bos kena cucuk turun kes boleh tahan,neutral
bila kes menurun kes kurang menipu tidak meningkat kerajaan tidak pandai control situasi 😑,negative
lockdown forever darul ehsan sedih kkm not good job satahun hasil tidak pkp,negative
sedih tengok carta tidak turun,negative
alhamdulillah harap ramadhan solat tarawih masjid surau,positive
kes rendah mungkin ujian makmal terlampau sikit khamis cuti sampai tunggu isnin selasa kes sikit,negative
vaccine,neutral
rentas daerah rentas negeri covid angka baru boleh,neutral
alhamdulliah moga turun kes amin,positive
hamdulil genap setahun covid tidak anevesry,neutral
kes naik degil positif still keluar jalan,negative
pkp tidak berkesan pkp kari banyak berniaga jalan,negative
rentas negeri tidak boleh alasan kluster balik kampung kerajaan ambil tindakan tidak boleh rentas negeri kluster tapak bina banyak kerajaan tak ambil tindakan tutup tapak bina,negative
mungkin negeri zon merah sekolah tidak mengaparlu buka bila budak sekolah kena kovid kpm suruh malaysia tutup sekolah rugi negeri tidak zon merah tapi tidak sekolah,neutral
renung kesilapan tidak mengaparlu menyalahkan patuhi sop tetapkan kementerian kesihatan malaysia,neutral
cakap banyak kali masjid jangan penjarakkan sof jangan menunaikan solat berjemaah penyakit swt berdoa penyakit dihapuskan bukan vaksin adehh,negative
pkp tidak pkp ce real pkp buka balik pkp tak pkp memain penuh kesana kesini harap ikut sop jadi kerah tentera polis libas degil lelaki frontliner letih pakai sauna,negative
kebenaran melancong bersyarat negeri pkpp ditangguhkan negeri sifar kes sekurang seminggu baru diizinkan terdpt negeri pkpp angka,neutral
menteri miti zalim menteri miti mulut celupar maaf kkm page rakyat ramai follow page kkm berbanding mkn,negative
alhamdulillah semoga kes baru menurun amin,positive
kerajaan tegas tidak kawal virus covid merebak rakyatnya tidak patuh sop tidak pembawa jadi terbaik duduk rumah tidak berkeperluan keluar jaga keluarga kasihan frontliner bertugas hospital,negative
bila kes sikit sembuh sikit 😥,negative
nombor tidak mengapanting penting doa solat hajat negara dimakbulkan,positive
hairan beribu ribu kes hospital muat katil gara mydin norizan,negative
banyak faktor angka meningkat trend tiada simptom realitinya bila kena tidak sedar menjangkiti sekeliling gus dengar kes keluarga kena bukan kena tidak bila prosedur hospital positif ahli keluarganya negatif subhanal banyak isu berbangkit hentikan menyalahkan menuding jari muhasabah diri banyakkan istighfar doa sop kkm kenalkan,neutral
arah pkpp inshal,positive
mencadangkan kerajaan mempertimbangkan penat taip kali bende,negative
peratus sembuh tinggi semoga frontliners tabah tugasan,positive
lockdown tidak lockdown 🤭 kes ribu nampak menipu nyaa,negative
kahkahkah buka sektor alang bubarkan pkp,negative
alhamdulillah banyak kes menurun terima kasih kkm info,positive
alhamdulillah muga reda berkurangan,positive
seriously tidak faham sesetengah rakyat malaysia bila covid meningkat dikatanya kerajaan tidak kerja bila covid menurun kerajaan manipulasi data jangan duduk pergi suntik vaksin depa suntik virus senang cita,negative
walaupun kes tinggi tapi alhamdulillah turun semoga berbaki pkp banyak turun kes harian amin,positive
bèrsama mungkin pkp tèrus sampai hujung duduk rumah bèrehat utama jaga kèsihatan tunggu kèputusan tv 😎 😎 😎 😎 pèrihatin jaga nègara malaysia amin allahuakbar,positive
penting kes aktif turun,positive
menurun syaa menurun kes sembuh harap maintain tinggi moga cepat tidak sembuh,positive
terkini pelaksanaan perintah kawalan pergerakan diperketatkan pkpd asrama kilang tapak binaan central medicara hilir februari mac kes baru dilaporkan pekerja kilang kontak rapat keluarga kes kluster jalan changkat jong februari kes,neutral
nitizen bila pkp tak boleh berniaga jejas yea jejas dunia jejas bukan bayangkan kes merebak tanpa dkawal sikap acuh tak acuh kena anak kena isteri adik suami sedara mninggal duduk komen kena time boleh tak brniaga malaysia kena kuarantin maju bisnes berurusan duduk nampak kes tak turun wlu pkp sikap rakyat bila lockdown mnyusahkan bila pkp tapi boleh kesana kesini tak patuh ikut kpa kes tak turun pkp tak brkesan jaga family kerja ikut tak payah susah payah fikir masalah ngara fikir overcome income sara family susah wehh tak jadi buruk takut hidup mrempat mati katak jalan hospital penuh tak faham,negative
jangan rentas negeri,neutral
alhamdulillah zero jangan 😄,positive
negeri banyak pusat industri angka susah turun bygkan beroperasi tanpa henti syif pekerja ramai hadap negeri kilang laungan sop tapi pekerja asing duduk rumah kena berderet ikut bawa masuk kilang jenuh,negative
alhamdulillah kes menghampiri angka,positive
alhamdulillah kes menurun 🤗,positive
alhamdulillah nampak trend penurunan kes ekonomi pulih banyak kalangan kena buang kerja akibat impak wabak covid nasih baik kerajaan mendengar keluhan rakyat kebenaran pengeluaran sinar tanpa syarat membantu terjejas belum bila tarikh bayaran lestari sinar boleh rujuk bawah semakan semoga dipermudahkan,positive
results kelmarin jadi kena tengok pkp,neutral
many malaysian population vaccinated today march first,neutral
misai kontot,neutral
angka boleh dipercayai,negative
jpeg saved wrong format either rgb cmyk color looks fading 🤔,neutral
wait dead among school cluster stop school must wait wait budaya wait tunggu stop announce stop school whole malaysia till really ready percents rakyat vaccined,negative
negeri turun asyik tinggi 😓,negative
alhamdulillah menurun harap esok turun amin,positive
tujuan mco negara menurunkan kes baru hard tujuan mco malaysia meningkatkan kes baru,negative
always podium,negative
tidak susah cecah toksah testing jaminan tiada kes baru,neutral
